Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -917.701     -917.701        0.000     0.0
0.0010         -917.698     -917.710        0.012     0.8
0.0020         -917.664     -917.746        0.082     5.1
0.0030         -917.507     -917.819        0.313    19.5
0.0040         -917.288     -917.928        0.640    39.9
0.0050         -917.086     -918.050        0.964    60.1
0.0060         -916.900     -918.167        1.267    79.0
0.0070         -916.729     -918.265        1.537    95.9
0.0080         -916.570     -918.333        1.763   110.0
0.0090         -916.421     -918.361        1.939   121.0
0.0100         -916.281     -918.343        2.062   128.7
0.0110         -916.145     -918.277        2.133   133.1
0.0120         -916.012     -918.164        2.153   134.3
0.0130         -915.879     -918.007        2.128   132.8
0.0140         -915.743     -917.810        2.067   129.0
0.0150         -915.605     -917.583        1.979   123.4
0.0160         -915.461     -917.334        1.873   116.9
0.0170         -915.312     -917.074        1.762   110.0
0.0180         -915.157     -916.814        1.656   103.3
0.0190         -914.998     -916.562        1.564    97.6
0.0200         -914.834     -916.329        1.494    93.2
0.0210         -914.668     -916.122        1.454    90.7
0.0220         -914.500     -915.947        1.448    90.3
0.0230         -914.332     -915.809        1.477    92.2
0.0240         -914.167     -915.710        1.544    96.3
0.0250         -914.005     -915.649        1.644   102.6
0.0260         -913.849     -915.623        1.774   110.7
0.0270         -913.701     -915.626        1.926   120.1
0.0280         -913.560     -915.652        2.092   130.5
0.0290         -913.427     -915.691        2.264   141.2
0.0300         -913.304     -915.738        2.434   151.9
0.0310         -913.188     -915.785        2.597   162.0
0.0320         -913.081     -915.829        2.748   171.5
0.0330         -912.981     -915.868        2.888   180.2
0.0340         -912.887     -915.903        3.015   188.1
0.0350         -912.800     -915.933        3.133   195.5
0.0360         -912.718     -915.961        3.243   202.3
0.0370         -912.642     -915.991        3.348   208.9
0.0380         -912.571     -916.024        3.452   215.4
0.0390         -912.505     -916.062        3.557   221.9
0.0400         -912.445     -916.109        3.664   228.6
0.0410         -912.390     -916.163        3.773   235.4
0.0420         -912.340     -916.225        3.885   242.4
0.0430         -912.296     -916.293        3.997   249.4
0.0440         -912.258     -916.364        4.106   256.2
0.0450         -912.225     -916.433        4.208   262.5
0.0460         -912.197     -916.496        4.299   268.2
0.0470         -912.173     -916.547        4.374   272.9
0.0480         -912.153     -916.580        4.428   276.3
0.0490         -912.134     -916.593        4.458   278.2
0.0500         -912.117     -916.580        4.463   278.4
0.0510         -912.099     -916.539        4.440   277.0
0.0520         -912.080     -916.471        4.392   274.0
0.0530         -912.058     -916.377        4.319   269.5
0.0540         -912.031     -916.258        4.227   263.7
0.0550         -912.000     -916.119        4.119   257.0
0.0560         -911.963     -915.965        4.002   249.7
0.0570         -911.921     -915.802        3.882   242.2
0.0580         -911.872     -915.638        3.766   235.0
0.0590         -911.818     -915.483        3.665   228.6
0.0600         -911.759     -915.348        3.589   223.9
0.0610         -911.697     -915.248        3.551   221.5
0.0620         -911.634     -915.195        3.560   222.1
0.0630         -911.573     -915.198        3.626   226.2
0.0640         -911.516     -915.265        3.749   233.9
0.0650         -911.466     -915.396        3.929   245.1
0.0660         -911.427     -915.585        4.158   259.4
0.0670         -911.399     -915.824        4.424   276.0
0.0680         -911.386     -916.101        4.715   294.1
0.0690         -911.387     -916.397        5.010   312.6
0.0700         -911.403     -916.691        5.288   329.9
0.0710         -911.432     -916.959        5.527   344.8
0.0720         -911.472     -917.180        5.708   356.1
0.0730         -911.520     -917.338        5.819   363.0
0.0740         -911.571     -917.424        5.853   365.2
0.0750         -911.623     -917.435        5.813   362.7
0.0760         -911.671     -917.373        5.702   355.8
0.0770         -911.712     -917.243        5.531   345.0
0.0780         -911.744     -917.052        5.307   331.1
0.0790         -911.764     -916.807        5.043   314.7
0.0800         -911.770     -916.520        4.750   296.4
0.0810         -911.761     -916.200        4.439   277.0
0.0820         -911.736     -915.859        4.123   257.2
0.0830         -911.695     -915.507        3.812   237.8
0.0840         -911.640     -915.158        3.518   219.5
0.0850         -911.570     -914.823        3.254   203.0
0.0860         -911.487     -914.515        3.028   188.9
0.0870         -911.394     -914.244        2.849   177.8
0.0880         -911.294     -914.018        2.724   170.0
0.0890         -911.188     -913.844        2.656   165.7
0.0900         -911.080     -913.727        2.647   165.1
0.0910         -910.972     -913.667        2.694   168.1
0.0920         -910.869     -913.665        2.796   174.5
0.0930         -910.771     -913.719        2.948   183.9
0.0940         -910.682     -913.826        3.144   196.2
0.0950         -910.603     -913.980        3.377   210.7
0.0960         -910.537     -914.177        3.640   227.1
0.0970         -910.484     -914.406        3.922   244.7
0.0980         -910.445     -914.657        4.212   262.8
0.0990         -910.421     -914.918        4.497   280.6
0.1000         -910.411     -915.176        4.765   297.3
0.1010         -910.414     -915.417        5.003   312.2
0.1020         -910.428     -915.629        5.201   324.5
0.1030         -910.451     -915.800        5.349   333.7
0.1040         -910.480     -915.918        5.438   339.3
0.1050         -910.512     -915.975        5.463   340.8
0.1060         -910.544     -915.963        5.419   338.1
0.1070         -910.573     -915.880        5.308   331.1
0.1080         -910.594     -915.731        5.136   320.5
0.1090         -910.607     -915.526        4.920   306.9
0.1100         -910.607     -915.284        4.676   291.8
0.1110         -910.596     -915.023        4.427   276.2
0.1120         -910.572     -914.759        4.187   261.3
0.1130         -910.536     -914.502        3.966   247.5
0.1140         -910.490     -914.256        3.766   234.9
0.1150         -910.434     -914.019        3.585   223.7
0.1160         -910.370     -913.796        3.427   213.8
0.1170         -910.298     -913.595        3.297   205.7
0.1180         -910.220     -913.430        3.209   200.2
0.1190         -910.139     -913.316        3.176   198.2
0.1200         -910.058     -913.263        3.205   199.9
0.1210         -909.979     -913.273        3.294   205.5
0.1220         -909.906     -913.339        3.433   214.2
0.1230         -909.841     -913.447        3.606   225.0
0.1240         -909.785     -913.578        3.793   236.7
0.1250         -909.738     -913.719        3.982   248.4
0.1260         -909.700     -913.861        4.161   259.6
0.1270         -909.671     -913.997        4.326   269.9
0.1280         -909.650     -914.124        4.474   279.1
0.1290         -909.636     -914.241        4.605   287.3
0.1300         -909.628     -914.351        4.723   294.7
0.1310         -909.626     -914.456        4.830   301.3
0.1320         -909.629     -914.559        4.930   307.6
0.1330         -909.637     -914.664        5.027   313.6
0.1340         -909.650     -914.775        5.125   319.8
0.1350         -909.668     -914.893        5.226   326.0
0.1360         -909.691     -915.019        5.328   332.4
0.1370         -909.719     -915.147        5.428   338.7
0.1380         -909.752     -915.273        5.521   344.5
0.1390         -909.789     -915.387        5.598   349.3
0.1400         -909.829     -915.480        5.650   352.5
0.1410         -909.872     -915.543        5.671   353.8
0.1420         -909.915     -915.567        5.652   352.6
0.1430         -909.956     -915.547        5.591   348.8
0.1440         -909.993     -915.479        5.486   342.3
0.1450         -910.024     -915.365        5.341   333.2
0.1460         -910.048     -915.209        5.162   322.0
0.1470         -910.061     -915.019        4.958   309.3
0.1480         -910.064     -914.803        4.739   295.7
0.1490         -910.056     -914.575        4.518   281.9
0.1500         -910.038     -914.348        4.310   268.9
0.1510         -910.009     -914.140        4.131   257.8
0.1520         -909.972     -913.974        4.002   249.7
0.1530         -909.930     -913.870        3.940   245.8
0.1540         -909.887     -913.846        3.959   247.0
0.1550         -909.846     -913.913        4.066   253.7
0.1560         -909.813     -914.069        4.256   265.5
0.1570         -909.790     -914.303        4.513   281.6
0.1580         -909.781     -914.596        4.815   300.4
0.1590         -909.788     -914.924        5.137   320.5
0.1600         -909.811     -915.267        5.457   340.4
0.1610         -909.849     -915.605        5.756   359.1
0.1620         -909.902     -915.924        6.021   375.7
0.1630         -909.967     -916.209        6.242   389.4
0.1640         -910.043     -916.453        6.410   399.9
0.1650         -910.125     -916.646        6.520   406.8
0.1660         -910.212     -916.780        6.567   409.7
0.1670         -910.300     -916.849        6.549   408.6
0.1680         -910.386     -916.852        6.467   403.4
0.1690         -910.466     -916.788        6.322   394.5
0.1700         -910.538     -916.662        6.124   382.1
0.1710         -910.599     -916.481        5.882   367.0
0.1720         -910.647     -916.256        5.609   349.9
0.1730         -910.681     -916.000        5.319   331.8
0.1740         -910.701     -915.726        5.025   313.5
0.1750         -910.706     -915.450        4.744   296.0
0.1760         -910.698     -915.186        4.488   280.0
0.1770         -910.677     -914.947        4.270   266.4
0.1780         -910.646     -914.745        4.099   255.7
0.1790         -910.608     -914.591        3.983   248.5
0.1800         -910.566     -914.491        3.925   244.9
0.1810         -910.521     -914.447        3.926   244.9
0.1820         -910.478     -914.458        3.980   248.3
0.1830         -910.438     -914.517        4.079   254.5
0.1840         -910.405     -914.617        4.212   262.8
0.1850         -910.378     -914.745        4.367   272.5
0.1860         -910.359     -914.888        4.529   282.6
0.1870         -910.348     -915.032        4.683   292.2
0.1880         -910.345     -915.161        4.817   300.5
0.1890         -910.347     -915.264        4.917   306.8
0.1900         -910.354     -915.330        4.976   310.4
0.1910         -910.363     -915.351        4.988   311.2
0.1920         -910.371     -915.325        4.953   309.0
0.1930         -910.377     -915.255        4.878   304.3
0.1940         -910.379     -915.152        4.774   297.8
0.1950         -910.375     -915.033        4.658   290.6
0.1960         -910.365     -914.918        4.553   284.1
0.1970         -910.350     -914.828        4.478   279.4
0.1980         -910.333     -914.775        4.442   277.1
0.1990         -910.315     -914.762        4.448   277.5
0.2000         -910.297     -914.782        4.485   279.8
0.2010         -910.282     -914.821        4.539   283.2
0.2020         -910.270     -914.867        4.597   286.8
0.2030         -910.260     -914.909        4.649   290.0
0.2040         -910.253     -914.942        4.689   292.6
0.2050         -910.248     -914.963        4.715   294.2
0.2060         -910.244     -914.968        4.725   294.8
0.2070         -910.239     -914.956        4.717   294.3
0.2080         -910.234     -914.923        4.689   292.5
0.2090         -910.227     -914.867        4.640   289.5
0.2100         -910.218     -914.788        4.570   285.1
0.2110         -910.204     -914.687        4.483   279.7
0.2120         -910.186     -914.571        4.385   273.6
0.2130         -910.163     -914.447        4.285   267.3
0.2140         -910.134     -914.324        4.189   261.4
0.2150         -910.102     -914.206        4.104   256.1
0.2160         -910.065     -914.100        4.035   251.7
0.2170         -910.025     -914.008        3.983   248.5
0.2180         -909.983     -913.936        3.953   246.6
0.2190         -909.940     -913.887        3.946   246.2
0.2200         -909.897     -913.862        3.965   247.4
0.2210         -909.856     -913.865        4.009   250.1
0.2220         -909.817     -913.896        4.079   254.5
0.2230         -909.783     -913.956        4.173   260.4
0.2240         -909.753     -914.044        4.291   267.7
0.2250         -909.730     -914.159        4.429   276.3
0.2260         -909.714     -914.296        4.582   285.9
0.2270         -909.706     -914.449        4.743   295.9
0.2280         -909.706     -914.612        4.906   306.1
0.2290         -909.714     -914.774        5.061   315.7
0.2300         -909.729     -914.927        5.198   324.3
0.2310         -909.751     -915.060        5.308   331.2
0.2320         -909.778     -915.160        5.382   335.8
0.2330         -909.807     -915.219        5.411   337.6
0.2340         -909.837     -915.225        5.388   336.2
0.2350         -909.865     -915.174        5.309   331.2
0.2360         -909.887     -915.061        5.174   322.8
0.2370         -909.902     -914.887        4.985   311.0
0.2380         -909.906     -914.658        4.751   296.4
0.2390         -909.898     -914.379        4.480   279.5
0.2400         -909.876     -914.061        4.185   261.1
0.2410         -909.839     -913.720        3.881   242.1
0.2420         -909.786     -913.381        3.594   224.3
0.2430         -909.721     -913.094        3.373   210.5
0.2440         -909.646     -912.924        3.278   204.5
0.2450         -909.570     -912.922        3.352   209.1
0.2460         -909.502     -913.109        3.607   225.1
0.2470         -909.450     -913.472        4.022   250.9
0.2480         -909.421     -913.961        4.540   283.3
0.2490         -909.418     -914.503        5.085   317.3
0.2500         -909.443     -915.027        5.585   348.4
0.2510         -909.490     -915.490        6.000   374.3
0.2520         -909.557     -915.869        6.312   393.8
0.2530         -909.636     -916.153        6.517   406.6
0.2540         -909.724     -916.342        6.618   412.9
0.2550         -909.815     -916.440        6.625   413.3
0.2560         -909.904     -916.453        6.549   408.6
0.2570         -909.989     -916.397        6.408   399.8
0.2580         -910.065     -916.286        6.221   388.1
0.2590         -910.132     -916.135        6.003   374.5
0.2600         -910.187     -915.956        5.769   360.0
0.2610         -910.230     -915.762        5.532   345.1
0.2620         -910.261     -915.562        5.300   330.7
0.2630         -910.282     -915.364        5.082   317.1
0.2640         -910.291     -915.176        4.885   304.8
0.2650         -910.291     -915.004        4.713   294.0
0.2660         -910.284     -914.854        4.570   285.1
0.2670         -910.269     -914.729        4.460   278.2
0.2680         -910.250     -914.632        4.381   273.4
0.2690         -910.228     -914.564        4.336   270.5
0.2700         -910.204     -914.525        4.321   269.6
0.2710         -910.180     -914.515        4.335   270.5
0.2720         -910.157     -914.531        4.374   272.9
0.2730         -910.136     -914.570        4.434   276.6
0.2740         -910.119     -914.628        4.509   281.3
0.2750         -910.106     -914.701        4.595   286.7
0.2760         -910.097     -914.782        4.685   292.3
0.2770         -910.092     -914.865        4.773   297.8
0.2780         -910.092     -914.944        4.852   302.7
0.2790         -910.096     -915.011        4.915   306.7
0.2800         -910.102     -915.061        4.959   309.4
0.2810         -910.110     -915.090        4.980   310.7
0.2820         -910.119     -915.098        4.979   310.6
0.2830         -910.127     -915.087        4.960   309.4
0.2840         -910.134     -915.060        4.926   307.4
0.2850         -910.139     -915.021        4.882   304.6
0.2860         -910.142     -914.972        4.831   301.4
0.2870         -910.142     -914.922        4.780   298.2
0.2880         -910.139     -914.886        4.747   296.2
0.2890         -910.136     -914.894        4.758   296.9
0.2900         -910.135     -914.975        4.840   302.0
0.2910         -910.139     -915.145        5.005   312.3
0.2920         -910.154     -915.403        5.249   327.5
0.2930         -910.182     -915.728        5.546   346.0
0.2940         -910.225     -916.083        5.858   365.5
0.2950         -910.284     -916.419        6.136   382.8
0.2960         -910.354     -916.690        6.336   395.3
0.2970         -910.433     -916.868        6.435   401.5
0.2980         -910.515     -916.939        6.424   400.8
0.2990         -910.594     -916.899        6.305   393.4
0.3000         -910.664     -916.754        6.089   379.9
0.3010         -910.723     -916.515        5.792   361.4
0.3020         -910.765     -916.199        5.434   339.1
0.3030         -910.788     -915.830        5.041   314.5
0.3040         -910.792     -915.433        4.641   289.5
0.3050         -910.776     -915.037        4.261   265.9
0.3060         -910.741     -914.672        3.931   245.2
0.3070         -910.692     -914.363        3.671   229.0
0.3080         -910.631     -914.129        3.498   218.2
0.3090         -910.564     -913.982        3.418   213.3
0.3100         -910.494     -913.927        3.432   214.2
0.3110         -910.427     -913.960        3.533   220.4
0.3120         -910.367     -914.076        3.710   231.4
0.3130         -910.316     -914.262        3.946   246.2
0.3140         -910.279     -914.505        4.226   263.7
0.3150         -910.256     -914.786        4.531   282.7
0.3160         -910.248     -915.089        4.841   302.0
0.3170         -910.256     -915.394        5.138   320.6
0.3180         -910.278     -915.682        5.404   337.2
0.3190         -910.312     -915.933        5.621   350.7
0.3200         -910.356     -916.131        5.775   360.3
0.3210         -910.406     -916.261        5.855   365.3
0.3220         -910.459     -916.313        5.854   365.2
0.3230         -910.510     -916.282        5.772   360.1
0.3240         -910.555     -916.169        5.614   350.2
0.3250         -910.591     -915.980        5.388   336.2
0.3260         -910.615     -915.725        5.110   318.8
0.3270         -910.624     -915.420        4.797   299.3
0.3280         -910.616     -915.083        4.467   278.7
0.3290         -910.593     -914.738        4.145   258.6
0.3300         -910.553     -914.411        3.857   240.6
0.3310         -910.501     -914.135        3.634   226.7
0.3320         -910.439     -913.942        3.503   218.5
0.3330         -910.373     -913.858        3.485   217.4
0.3340         -910.308     -913.892        3.584   223.6
0.3350         -910.251     -914.040        3.789   236.4
0.3360         -910.206     -914.282        4.076   254.3
0.3370         -910.176     -914.587        4.412   275.2
0.3380         -910.163     -914.926        4.763   297.2
0.3390         -910.168     -915.272        5.104   318.5
0.3400         -910.189     -915.602        5.414   337.8
0.3410         -910.224     -915.899        5.675   354.1
0.3420         -910.272     -916.147        5.875   366.5
0.3430         -910.328     -916.331        6.003   374.5
0.3440         -910.389     -916.445        6.055   377.8
0.3450         -910.452     -916.484        6.032   376.4
0.3460         -910.511     -916.452        5.940   370.6
0.3470         -910.565     -916.357        5.792   361.4
0.3480         -910.610     -916.211        5.601   349.4
0.3490         -910.646     -916.029        5.384   335.9
0.3500         -910.670     -915.825        5.155   321.6
0.3510         -910.683     -915.612        4.929   307.5
0.3520         -910.684     -915.401        4.716   294.3
0.3530         -910.676     -915.201        4.525   282.3
0.3540         -910.658     -915.018        4.360   272.0
0.3550         -910.633     -914.857        4.224   263.5
0.3560         -910.601     -914.721        4.119   257.0
0.3570         -910.565     -914.612        4.047   252.5
0.3580         -910.526     -914.535        4.009   250.1
0.3590         -910.486     -914.495        4.008   250.1
0.3600         -910.447     -914.492        4.045   252.4
0.3610         -910.410     -914.525        4.115   256.7
0.3620         -910.377     -914.586        4.209   262.6
0.3630         -910.349     -914.664        4.315   269.2
0.3640         -910.327     -914.746        4.419   275.7
0.3650         -910.309     -914.819        4.510   281.4
0.3660         -910.296     -914.871        4.575   285.5
0.3670         -910.285     -914.892        4.607   287.4
0.3680         -910.275     -914.875        4.600   287.0
0.3690         -910.264     -914.815        4.551   283.9
0.3700         -910.249     -914.709        4.460   278.3
0.3710         -910.229     -914.561        4.332   270.3
0.3720         -910.202     -914.377        4.174   260.4
0.3730         -910.167     -914.171        4.004   249.8
0.3740         -910.124     -913.969        3.846   239.9
0.3750         -910.073     -913.810        3.737   233.1
0.3760         -910.018     -913.731        3.713   231.7
0.3770         -909.965     -913.759        3.794   236.7
0.3780         -909.917     -913.895        3.978   248.2
0.3790         -909.881     -914.117        4.236   264.3
0.3800         -909.858     -914.381        4.523   282.2
0.3810         -909.850     -914.642        4.792   299.0
0.3820         -909.853     -914.867        5.014   312.8
0.3830         -909.867     -915.040        5.173   322.8
0.3840         -909.887     -915.155        5.268   328.7
0.3850         -909.911     -915.211        5.300   330.6
0.3860         -909.935     -915.206        5.270   328.8
0.3870         -909.957     -915.141        5.184   323.4
0.3880         -909.973     -915.019        5.046   314.8
0.3890         -909.982     -914.845        4.863   303.4
0.3900         -909.980     -914.628        4.648   290.0
0.3910         -909.967     -914.379        4.412   275.3
0.3920         -909.943     -914.109        4.167   260.0
0.3930         -909.906     -913.829        3.924   244.8
0.3940         -909.857     -913.549        3.692   230.4
0.3950         -909.797     -913.278        3.481   217.2
0.3960         -909.726     -913.024        3.297   205.7
0.3970         -909.648     -912.794        3.147   196.3
0.3980         -909.562     -912.597        3.035   189.3
0.3990         -909.472     -912.438        2.966   185.0
0.4000         -909.379     -912.324        2.945   183.7
0.4010         -909.286     -912.263        2.977   185.7
0.4020         -909.196     -912.261        3.065   191.2
0.4030         -909.112     -912.321        3.210   200.2
0.4040         -909.036     -912.447        3.411   212.8
0.4050         -908.971     -912.637        3.666   228.7
0.4060         -908.919     -912.886        3.966   247.4
0.4070         -908.884     -913.185        4.301   268.4
0.4080         -908.866     -913.524        4.658   290.6
0.4090         -908.865     -913.887        5.022   313.3
0.4100         -908.883     -914.259        5.376   335.4
0.4110         -908.918     -914.621        5.703   355.8
0.4120         -908.969     -914.956        5.987   373.5
0.4130         -909.033     -915.244        6.211   387.5
0.4140         -909.106     -915.470        6.364   397.0
0.4150         -909.186     -915.622        6.436   401.5
0.4160         -909.267     -915.691        6.423   400.7
0.4170         -909.346     -915.673        6.327   394.7
0.4180         -909.419     -915.571        6.152   383.8
0.4190         -909.482     -915.388        5.907   368.5
0.4200         -909.531     -915.136        5.605   349.7
0.4210         -909.564     -914.830        5.266   328.6
0.4220         -909.580     -914.498        4.918   306.8
0.4230         -909.578     -914.180        4.601   287.1
0.4240         -909.563     -913.929        4.366   272.4
0.4250         -909.538     -913.791        4.253   265.3
0.4260         -909.510     -913.791        4.281   267.1
0.4270         -909.486     -913.927        4.441   277.0
0.4280         -909.473     -914.174        4.701   293.3
0.4290         -909.474     -914.487        5.013   312.8
0.4300         -909.491     -914.823        5.333   332.7
0.4310         -909.523     -915.154        5.631   351.3
0.4320         -909.570     -915.462        5.893   367.6
0.4330         -909.628     -915.737        6.108   381.1
0.4340         -909.697     -915.971        6.275   391.5
0.4350         -909.773     -916.162        6.390   398.6
0.4360         -909.853     -916.306        6.453   402.6
0.4370         -909.936     -916.402        6.466   403.4
0.4380         -910.018     -916.451        6.433   401.3
0.4390         -910.098     -916.455        6.357   396.6
0.4400         -910.173     -916.417        6.243   389.5
0.4410         -910.242     -916.339        6.097   380.4
0.4420         -910.303     -916.228        5.924   369.6
0.4430         -910.355     -916.087        5.732   357.6
0.4440         -910.397     -915.922        5.525   344.7
0.4450         -910.429     -915.740        5.312   331.4
0.4460         -910.450     -915.547        5.098   318.0
0.4470         -910.460     -915.349        4.889   305.0
0.4480         -910.460     -915.150        4.690   292.6
0.4490         -910.450     -914.958        4.508   281.3
0.4500         -910.432     -914.779        4.347   271.2
0.4510         -910.406     -914.617        4.211   262.7
0.4520         -910.374     -914.480        4.106   256.2
0.4530         -910.337     -914.372        4.034   251.7
0.4540         -910.298     -914.293        3.995   249.2
0.4550         -910.257     -914.241        3.985   248.6
0.4560         -910.216     -914.213        3.997   249.4
0.4570         -910.176     -914.199        4.023   251.0
0.4580         -910.137     -914.191        4.054   252.9
0.4590         -910.100     -914.179        4.079   254.5
0.4600         -910.064     -914.157        4.094   255.4
0.4610         -910.028     -914.121        4.093   255.3
0.4620         -909.992     -914.067        4.075   254.2
0.4630         -909.955     -913.996        4.041   252.1
0.4640         -909.915     -913.909        3.994   249.2
0.4650         -909.874     -913.813        3.940   245.8
0.4660         -909.829     -913.719        3.890   242.7
0.4670         -909.782     -913.644        3.862   240.9
0.4680         -909.735     -913.613        3.878   242.0
0.4690         -909.690     -913.648        3.959   247.0
0.4700         -909.650     -913.763        4.113   256.6
0.4710         -909.620     -913.955        4.336   270.5
0.4720         -909.601     -914.212        4.611   287.7
0.4730         -909.597     -914.506        4.909   306.3
0.4740         -909.608     -914.805        5.196   324.2
0.4750         -909.633     -915.075        5.442   339.5
0.4760         -909.669     -915.294        5.625   350.9
0.4770         -909.712     -915.447        5.735   357.8
0.4780         -909.759     -915.528        5.769   359.9
0.4790         -909.807     -915.534        5.727   357.3
0.4800         -909.851     -915.466        5.615   350.3
0.4810         -909.888     -915.329        5.441   339.5
0.4820         -909.915     -915.132        5.217   325.5
0.4830         -909.930     -914.886        4.956   309.2
0.4840         -909.932     -914.607        4.674   291.6
0.4850         -909.920     -914.308        4.388   273.8
0.4860         -909.893     -914.006        4.113   256.6
0.4870         -909.853     -913.717        3.864   241.1
0.4880         -909.801     -913.455        3.653   227.9
0.4890         -909.740     -913.231        3.491   217.8
0.4900         -909.672     -913.055        3.383   211.1
0.4910         -909.599     -912.934        3.335   208.1
0.4920         -909.526     -912.872        3.346   208.8
0.4930         -909.454     -912.869        3.415   213.1
0.4940         -909.386     -912.923        3.537   220.7
0.4950         -909.326     -913.032        3.706   231.2
0.4960         -909.275     -913.192        3.917   244.4
0.4970         -909.235     -913.398        4.163   259.7
0.4980         -909.208     -913.644        4.436   276.8
0.4990         -909.196     -913.922        4.727   294.9
0.5000         -909.197     -914.221        5.023   313.4
0.5010         -909.214     -914.523        5.310   331.3
0.5020         -909.244     -914.813        5.568   347.4
0.5030         -909.287     -915.070        5.783   360.8
0.5040         -909.339     -915.278        5.939   370.5
0.5050         -909.398     -915.424        6.027   376.0
0.5060         -909.459     -915.503        6.044   377.1
0.5070         -909.520     -915.512        5.992   373.8
0.5080         -909.577     -915.457        5.880   366.9
0.5090         -909.628     -915.351        5.723   357.1
0.5100         -909.670     -915.209        5.540   345.6
0.5110         -909.703     -915.053        5.351   333.8
0.5120         -909.726     -914.904        5.178   323.0
0.5130         -909.742     -914.778        5.037   314.2
0.5140         -909.751     -914.689        4.938   308.1
0.5150         -909.756     -914.641        4.885   304.8
0.5160         -909.760     -914.633        4.873   304.0
0.5170         -909.763     -914.660        4.897   305.5
0.5180         -909.768     -914.716        4.948   308.7
0.5190         -909.777     -914.796        5.019   313.2
0.5200         -909.789     -914.894        5.105   318.5
0.5210         -909.806     -915.003        5.198   324.3
0.5220         -909.827     -915.120        5.293   330.2
0.5230         -909.853     -915.236        5.383   335.8
0.5240         -909.883     -915.346        5.463   340.8
0.5250         -909.918     -915.446        5.529   344.9
0.5260         -909.955     -915.534        5.580   348.1
0.5270         -909.994     -915.609        5.615   350.3
0.5280         -910.035     -915.672        5.637   351.7
0.5290         -910.077     -915.726        5.649   352.4
0.5300         -910.119     -915.772        5.653   352.7
0.5310         -910.161     -915.813        5.652   352.6
0.5320         -910.203     -915.849        5.646   352.3
0.5330         -910.245     -915.883        5.638   351.7
0.5340         -910.286     -915.912        5.626   351.0
0.5350         -910.327     -915.939        5.612   350.1
0.5360         -910.366     -915.962        5.595   349.1
0.5370         -910.405     -915.981        5.576   347.9
0.5380         -910.443     -915.997        5.554   346.5
0.5390         -910.480     -916.010        5.530   345.0
0.5400         -910.516     -916.020        5.505   343.4
0.5410         -910.550     -916.029        5.479   341.8
0.5420         -910.583     -916.036        5.453   340.2
0.5430         -910.615     -916.044        5.429   338.7
0.5440         -910.645     -916.055        5.410   337.5
0.5450         -910.675     -916.073        5.398   336.8
0.5460         -910.704     -916.100        5.396   336.6
0.5470         -910.734     -916.141        5.407   337.3
0.5480         -910.764     -916.195        5.431   338.8
0.5490         -910.796     -916.263        5.467   341.1
0.5500         -910.830     -916.339        5.509   343.7
0.5510         -910.866     -916.419        5.553   346.4
0.5520         -910.904     -916.494        5.591   348.8
0.5530         -910.944     -916.560        5.616   350.4
0.5540         -910.984     -916.611        5.627   351.1
0.5550         -911.025     -916.649        5.624   350.9
0.5560         -911.066     -916.678        5.612   350.1
0.5570         -911.106     -916.706        5.600   349.4
0.5580         -911.145     -916.743        5.598   349.2
0.5590         -911.185     -916.798        5.613   350.2
0.5600         -911.226     -916.877        5.651   352.6
0.5610         -911.269     -916.977        5.708   356.1
0.5620         -911.315     -917.092        5.776   360.4
0.5630         -911.365     -917.210        5.845   364.7
0.5640         -911.418     -917.321        5.903   368.3
0.5650         -911.474     -917.415        5.941   370.7
0.5660         -911.531     -917.484        5.953   371.4
0.5670         -911.588     -917.523        5.935   370.3
0.5680         -911.643     -917.529        5.886   367.2
0.5690         -911.696     -917.503        5.807   362.3
0.5700         -911.744     -917.444        5.700   355.6
0.5710         -911.786     -917.355        5.570   347.5
0.5720         -911.821     -917.241        5.421   338.2
0.5730         -911.848     -917.108        5.259   328.1
0.5740         -911.867     -916.960        5.093   317.7
0.5750         -911.878     -916.806        4.928   307.4
0.5760         -911.881     -916.651        4.770   297.6
0.5770         -911.876     -916.502        4.626   288.6
0.5780         -911.864     -916.365        4.500   280.8
0.5790         -911.847     -916.243        4.396   274.3
0.5800         -911.825     -916.142        4.317   269.3
0.5810         -911.799     -916.063        4.264   266.0
0.5820         -911.771     -916.009        4.238   264.4
0.5830         -911.742     -915.982        4.240   264.5
0.5840         -911.714     -915.981        4.266   266.2
0.5850         -911.688     -916.004        4.316   269.3
0.5860         -911.665     -916.051        4.386   273.6
0.5870         -911.645     -916.116        4.470   278.9
0.5880         -911.630     -916.196        4.565   284.8
0.5890         -911.620     -916.285        4.665   291.1
0.5900         -911.615     -916.382        4.767   297.4
0.5910         -911.615     -916.482        4.867   303.7
0.5920         -911.620     -916.585        4.965   309.8
0.5930         -911.630     -916.691        5.062   315.8
0.5940         -911.644     -916.801        5.156   321.7
0.5950         -911.663     -916.911        5.247   327.4
0.5960         -911.687     -917.018        5.331   332.6
0.5970         -911.715     -917.115        5.401   336.9
0.5980         -911.745     -917.194        5.448   339.9
0.5990         -911.778     -917.243        5.466   341.0
0.6000         -911.811     -917.256        5.446   339.8
0.6010         -911.841     -917.227        5.385   336.0
0.6020         -911.868     -917.152        5.284   329.7
0.6030         -911.889     -917.037        5.147   321.1
0.6040         -911.903     -916.890        4.987   311.1
0.6050         -911.909     -916.725        4.816   300.5
0.6060         -911.906     -916.560        4.654   290.4
