#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  60 160
# Band-Index:    1
   1.00073    -62.282782  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.02253    -62.281734  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.04433    -62.280626  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.06613    -62.279462  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.08793    -62.278244  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.10973    -62.276974  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.13153    -62.275713  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.13153    -62.275713  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.17512    -62.281103  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.21872    -62.286867  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.26232    -62.292827  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.30592    -62.298912  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.34951    -62.305042  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.39311    -62.311149  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.43671    -62.317155  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.48031    -62.322986  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.52390    -62.328576  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.56750    -62.333851  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.61110    -62.338760  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.65470    -62.343235  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.69830    -62.347229  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.74189    -62.350693  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.78549    -62.353580  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.82909    -62.355862  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.87269    -62.357514  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.91628    -62.358510  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.95988    -62.358846  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 
# Band-Index:    2
   1.95988    -62.233581  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.91628    -62.233749  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.87269    -62.234260  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.82909    -62.235102  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.78549    -62.236268  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.74189    -62.237743  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.69830    -62.239506  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.65470    -62.241539  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.61110    -62.243817  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.56750    -62.246310  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.52390    -62.248990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.48031    -62.251820  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.43671    -62.254771  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.39311    -62.257810  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.34951    -62.260886  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.30592    -62.263979  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.26232    -62.267039  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.21872    -62.270036  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.17512    -62.272925  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.13153    -62.275564  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.13153    -62.275564  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.10973    -62.276878  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.08793    -62.278146  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.06613    -62.279362  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.04433    -62.280524  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.02253    -62.281630  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.00073    -62.282676  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.97893    -62.283655  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.95714    -62.284566  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.93534    -62.285406  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.91354    -62.286177  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.89174    -62.286873  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.86994    -62.287491  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.84814    -62.288032  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.82634    -62.288491  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.80454    -62.288869  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.78275    -62.289164  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.76095    -62.289376  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.73915    -62.289502  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.71735    -62.289540  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.71735    -62.289540  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.67959    -62.284325  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.64184    -62.279164  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.60408    -62.274164  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.56633    -62.269349  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.52857    -62.264765  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.49082    -62.260432  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.45306    -62.256380  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.41531    -62.252634  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.37755    -62.249205  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.33980    -62.246112  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.30204    -62.243358  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.26429    -62.240957  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.22653    -62.238909  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.18878    -62.237209  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.15102    -62.235849  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.11327    -62.234820  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.07551    -62.234108  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.03776    -62.233707  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.00000    -62.233581  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 
# Band-Index:    3
   0.00000    -62.233548  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.03776    -62.233673  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.07551    -62.234036  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.11327    -62.234597  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.15102    -62.235325  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.18878    -62.236195  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.22653    -62.237177  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.26429    -62.238243  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.30204    -62.239354  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.33980    -62.240489  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.37755    -62.241613  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.41531    -62.242697  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.45306    -62.243723  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.49082    -62.244664  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.52857    -62.245491  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.56633    -62.246198  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.60408    -62.246767  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.64184    -62.247178  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.67959    -62.247431  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.71735    -62.247517  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.71735    -62.247517  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.73915    -62.247603  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.76095    -62.247856  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.78275    -62.248281  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.80454    -62.248877  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.82634    -62.249641  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.84814    -62.250570  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.86994    -62.251656  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.89174    -62.252899  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.91354    -62.254298  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.93534    -62.255850  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.95714    -62.257546  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.97893    -62.259382  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.00073    -62.261349  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.02253    -62.263441  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.04433    -62.265658  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.06613    -62.267992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.08793    -62.270431  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.10973    -62.272965  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.13153    -62.275531  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.13153    -62.275531  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.17512    -62.272792  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.21872    -62.269909  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.26232    -62.266920  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.30592    -62.263867  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.34951    -62.260780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.39311    -62.257712  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.43671    -62.254680  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.48031    -62.251737  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.52390    -62.248913  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.56750    -62.246240  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.61110    -62.243754  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.65470    -62.241482  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.69830    -62.239454  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.74189    -62.237697  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.78549    -62.236227  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.82909    -62.235065  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.87269    -62.234225  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.91628    -62.233716  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.95988    -62.233548  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 
# Band-Index:    4
   1.95988    -36.739842  0.006  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.008
   1.91628    -36.745154  0.006  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.007
   1.87269    -36.758026  0.006  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   1.82909    -36.773713  0.006  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.008
   1.78549    -36.789447  0.004  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.008
   1.74189    -36.803885  0.004  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.008
   1.69830    -36.816329  0.004  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.008
   1.65470    -36.826376  0.004  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.008
   1.61110    -36.833791  0.004  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.008
   1.56750    -36.838425  0.004  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.008
   1.52390    -36.840206  0.004  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.008
   1.48031    -36.839113  0.004  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.008
   1.43671    -36.835179  0.004  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.008
   1.39311    -36.828483  0.004  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.008
   1.34951    -36.819140  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.008
   1.30592    -36.807320  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.008
   1.26232    -36.793227  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.008
   1.21872    -36.777118  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.008
   1.17512    -36.759291  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.008
   1.13153    -36.740139  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   1.13153    -36.740139  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   1.10973    -36.759471  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   1.08793    -36.778131  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   1.06613    -36.796009  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   1.04433    -36.813056  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   1.02253    -36.829227  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   1.00073    -36.844478  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.97893    -36.858769  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.95714    -36.872059  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.93534    -36.884315  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.91354    -36.895501  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.89174    -36.905591  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.86994    -36.914557  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.84814    -36.922378  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.82634    -36.929027  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.80454    -36.934491  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.78275    -36.938755  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.76095    -36.941810  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.73915    -36.943646  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.71735    -36.944259  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.71735    -36.944259  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.67959    -36.943467  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.64184    -36.941093  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.60408    -36.937152  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.56633    -36.931665  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.52857    -36.924663  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.49082    -36.916189  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.45306    -36.906288  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.41531    -36.895026  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.37755    -36.882473  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.33980    -36.868717  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.30204    -36.853865  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.26429    -36.838056  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.22653    -36.821461  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.18878    -36.804334  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.15102    -36.787058  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.11327    -36.770283  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.07551    -36.755208  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.03776    -36.744040  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.008
   0.00000    -36.739842  0.006  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.008
 
# Band-Index:    5
   0.00000    -36.739790  0.006  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.010
   0.03776    -36.743698  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.010
   0.07551    -36.752981  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.11327    -36.764095  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.15102    -36.774752  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.18878    -36.783715  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.22653    -36.790290  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.26429    -36.794066  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.30204    -36.794783  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.33980    -36.792285  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.37755    -36.786484  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.41531    -36.777353  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.45306    -36.764909  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.49082    -36.749222  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.52857    -36.730399  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.56633    -36.708585  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.60408    -36.683966  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.64184    -36.656763  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.67959    -36.627229  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.71735    -36.595678  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.71735    -36.595678  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.73915    -36.596306  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
   0.76095    -36.598171  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.006
